2026-01-09 13:09:44 | INFO     | STLDetector | __init__:82 | Logging system initialized
2026-01-09 13:09:44 | INFO     | STLDetector | __init__:83 | Log directory: /home/rohit/Desktop/STL/logs
2026-01-09 13:09:44 | INFO     | STLDetector | info:89 | Test
2026-01-09 13:10:54 | INFO     | STLDetector | __init__:82 | Logging system initialized
2026-01-09 13:10:54 | INFO     | STLDetector | __init__:83 | Log directory: /home/rohit/Desktop/STL/logs
2026-01-09 13:10:54 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:10:54 | INFO     | STLDetector | info:89 | STL OBJECT DETECTION SYSTEM STARTING
2026-01-09 13:10:54 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:10:54 | INFO     | STLDetector | info:89 | Model: /home/rohit/Desktop/STL/runs/detect/stl_object/weights/best.pt
2026-01-09 13:10:54 | INFO     | STLDetector | info:89 | Camera: RealSense
2026-01-09 13:10:54 | INFO     | STLDetector | info:89 | Timestamp: 2026-01-09T13:10:54.922289
2026-01-09 13:10:54 | INFO     | STLDetector | info:89 | Confidence threshold: 0.5
2026-01-09 13:10:54 | INFO     | STLDetector | info:89 | Controls: q=quit, s=save, +/-=adjust confidence
2026-01-09 13:11:31 | INFO     | STLDetector | info:89 | Confidence increased to 0.55
2026-01-09 13:11:31 | INFO     | STLDetector | info:89 | Confidence increased to 0.60
2026-01-09 13:13:47 | INFO     | STLDetector | info:89 | Confidence increased to 0.65
2026-01-09 13:13:49 | INFO     | STLDetector | info:89 | Confidence increased to 0.70
2026-01-09 13:14:24 | INFO     | STLDetector | info:89 | Quit requested by user
2026-01-09 13:14:25 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:14:25 | INFO     | STLDetector | info:89 | SYSTEM SHUTDOWN: Normal
2026-01-09 13:14:25 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:15:52 | INFO     | STLDetector | __init__:82 | Logging system initialized
2026-01-09 13:15:52 | INFO     | STLDetector | __init__:83 | Log directory: /home/rohit/Desktop/STL/logs
2026-01-09 13:15:53 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:15:53 | INFO     | STLDetector | info:89 | STL OBJECT DETECTION SYSTEM STARTING
2026-01-09 13:15:53 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:15:53 | INFO     | STLDetector | info:89 | Model: /home/rohit/Desktop/STL/runs/detect/stl_object/weights/best.pt
2026-01-09 13:15:53 | INFO     | STLDetector | info:89 | Camera: RealSense
2026-01-09 13:15:53 | INFO     | STLDetector | info:89 | Timestamp: 2026-01-09T13:15:53.062743
2026-01-09 13:15:53 | INFO     | STLDetector | info:89 | Confidence threshold: 0.5
2026-01-09 13:15:53 | INFO     | STLDetector | info:89 | Controls: q=quit, s=save, +/-=adjust confidence
2026-01-09 13:16:11 | INFO     | STLDetector | info:89 | Quit requested by user
2026-01-09 13:16:11 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:16:11 | INFO     | STLDetector | info:89 | SYSTEM SHUTDOWN: Normal
2026-01-09 13:16:11 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:16:27 | INFO     | STLDetector | __init__:82 | Logging system initialized
2026-01-09 13:16:27 | INFO     | STLDetector | __init__:83 | Log directory: /home/rohit/Desktop/STL/logs
2026-01-09 13:16:27 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:16:27 | INFO     | STLDetector | info:89 | STL OBJECT DETECTION SYSTEM STARTING
2026-01-09 13:16:27 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:16:27 | INFO     | STLDetector | info:89 | Model: /home/rohit/Desktop/STL/runs/detect/stl_object/weights/best.pt
2026-01-09 13:16:27 | INFO     | STLDetector | info:89 | Camera: RealSense
2026-01-09 13:16:27 | INFO     | STLDetector | info:89 | Timestamp: 2026-01-09T13:16:27.608928
2026-01-09 13:16:27 | INFO     | STLDetector | info:89 | Confidence threshold: 0.5
2026-01-09 13:16:27 | INFO     | STLDetector | info:89 | Controls: q=quit, s=save, +/-=adjust confidence
2026-01-09 13:17:21 | INFO     | STLDetector | info:89 | Quit requested by user
2026-01-09 13:17:22 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:17:22 | INFO     | STLDetector | info:89 | SYSTEM SHUTDOWN: Normal
2026-01-09 13:17:22 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:18:47 | INFO     | STLDetector | __init__:82 | Logging system initialized
2026-01-09 13:18:47 | INFO     | STLDetector | __init__:83 | Log directory: /home/rohit/Desktop/STL/logs
2026-01-09 13:18:47 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:18:47 | INFO     | STLDetector | info:89 | STL OBJECT DETECTION SYSTEM STARTING
2026-01-09 13:18:47 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:18:47 | INFO     | STLDetector | info:89 | Model: /home/rohit/Desktop/STL/runs/detect/stl_object/weights/best.pt
2026-01-09 13:18:47 | INFO     | STLDetector | info:89 | Camera: RealSense
2026-01-09 13:18:47 | INFO     | STLDetector | info:89 | Timestamp: 2026-01-09T13:18:47.641740
2026-01-09 13:18:47 | INFO     | STLDetector | info:89 | Confidence threshold: 0.75
2026-01-09 13:18:47 | INFO     | STLDetector | info:89 | Controls: q=quit, s=save, +/-=adjust confidence
2026-01-09 13:26:52 | INFO     | STLDetector | info:89 | Quit requested by user
2026-01-09 13:26:52 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 13:26:52 | INFO     | STLDetector | info:89 | SYSTEM SHUTDOWN: Normal
2026-01-09 13:26:52 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 14:46:47 | INFO     | STLDetector | __init__:82 | Logging system initialized
2026-01-09 14:46:47 | INFO     | STLDetector | __init__:83 | Log directory: /home/rohit/Desktop/STL/logs
2026-01-09 14:46:47 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 14:46:47 | INFO     | STLDetector | info:89 | STL OBJECT DETECTION SYSTEM STARTING
2026-01-09 14:46:47 | INFO     | STLDetector | info:89 | ============================================================
2026-01-09 14:46:47 | INFO     | STLDetector | info:89 | Model: /home/rohit/Desktop/STL/runs/detect/stl_object/weights/best.pt
2026-01-09 14:46:47 | INFO     | STLDetector | info:89 | Camera: RealSense
